iter	Passed	Remaining
449	1112	1360
450	1115	1358
451	1118	1355
452	1120	1353
453	1123	1351
454	1125	1348
455	1128	1346
456	1130	1343
457	1133	1341
458	1136	1339
459	1138	1336
460	1142	1335
461	1144	1332
462	1146	1330
463	1149	1327
464	1152	1325
465	1154	1323
466	1157	1320
467	1160	1318
468	1162	1315
469	1164	1313
470	1167	1311
471	1169	1308
472	1172	1305
473	1175	1304
474	1177	1301
475	1180	1299
476	1182	1296
477	1185	1294
478	1187	1292
479	1190	1290
480	1193	1288
481	1196	1286
482	1199	1283
483	1201	1281
484	1204	1279
485	1207	1277
486	1210	1274
487	1212	1272
488	1215	1269
489	1217	1267
490	1219	1264
491	1222	1262
492	1225	1260
493	1227	1257
494	1229	1254
495	1232	1252
496	1234	1249
497	1236	1246
498	1239	1244
499	1242	1242
500	1245	1240
501	1247	1237
502	1250	1235
503	1252	1232
504	1255	1230
505	1258	1228
506	1260	1225
507	1262	1223
508	1265	1220
509	1268	1218
510	1271	1216
511	1275	1216
512	1278	1213
513	1280	1211
514	1284	1209
515	1286	1206
516	1288	1203
517	1291	1201
518	1293	1199
519	1296	1196
520	1299	1194
521	1302	1192
522	1305	1190
523	1307	1187
524	1310	1185
525	1312	1182
526	1315	1180
527	1318	1178
528	1321	1176
529	1323	1173
530	1325	1171
531	1328	1168
532	1330	1166
533	1333	1163
534	1336	1161
535	1338	1158
536	1341	1156
537	1343	1153
538	1345	1151
539	1347	1148
540	1350	1145
541	1353	1143
542	1355	1140
543	1358	1138
544	1360	1135
545	1363	1133
546	1366	1131
547	1369	1129
548	1371	1126
549	1374	1124
550	1376	1121
551	1379	1119
552	1381	1116
553	1385	1115
554	1387	1112
555	1390	1110
556	1392	1107
557	1395	1105
558	1397	1102
559	1400	1100
560	1403	1098
561	1406	1095
562	1408	1093
563	1411	1090
564	1413	1088
565	1416	1085
566	1418	1083
567	1421	1081
568	1424	1078
569	1426	1076
570	1429	1073
571	1431	1071
572	1434	1069
573	1437	1066
574	1439	1064
575	1442	1062
576	1444	1059
577	1449	1058
578	1452	1055
579	1455	1053
580	1457	1051
581	1460	1048
582	1462	1046
583	1464	1043
584	1467	1041
585	1470	1039
586	1473	1036
587	1476	1034
588	1478	1031
589	1482	1030
590	1484	1027
591	1486	1024
592	1489	1022
593	1491	1019
594	1494	1016
595	1496	1014
596	1499	1012
597	1501	1009
598	1506	1008
599	1509	1006
600	1512	1004
601	1515	1002
602	1518	999
603	1521	997
604	1523	994
605	1526	992
606	1528	989
607	1532	987
608	1535	985
609	1538	983
610	1541	981
611	1544	978
612	1547	976
613	1550	974
614	1553	972
615	1555	969
616	1558	967
617	1560	964
618	1564	962
619	1567	960
620	1569	958
621	1572	955
622	1575	953
623	1577	950
624	1581	948
625	1584	946
626	1587	944
627	1589	941
628	1592	939
629	1594	936
630	1598	935
631	1601	932
632	1604	930
633	1607	927
634	1609	925
635	1612	922
636	1615	920
637	1618	918
638	1621	916
639	1624	913
640	1626	911
641	1632	910
642	1634	907
643	1637	905
644	1640	902
645	1642	900
646	1645	897
647	1649	895
648	1652	893
649	1655	891
650	1657	888
651	1660	886
652	1663	883
653	1666	881
654	1668	878
655	1671	876
656	1674	874
657	1677	871
658	1680	869
659	1682	866
660	1684	864
661	1687	861
662	1689	858
663	1691	855
664	1693	853
665	1696	850
666	1698	847
667	1700	845
668	1702	842
669	1705	839
670	1707	837
671	1710	834
672	1712	832
673	1714	829
674	1717	826
675	1719	824
676	1722	821
677	1724	819
678	1727	816
679	1730	814
680	1733	811
681	1735	809
682	1737	806
683	1740	803
684	1743	801
685	1745	798
686	1747	796
687	1749	793
688	1752	790
689	1754	788
690	1756	785
691	1760	783
692	1762	780
693	1765	778
694	1767	775
695	1769	772
696	1772	770
697	1774	767
698	1777	765
699	1780	763
700	1783	760
701	1785	758
702	1787	755
703	1790	752
704	1793	750
705	1796	747
706	1798	745
707	1801	742
708	1803	740
709	1806	737
710	1808	735
711	1811	732
712	1813	730
713	1816	727
714	1820	725
715	1823	723
716	1826	720
717	1829	718
718	1832	716
719	1835	713
720	1838	711
721	1842	709
722	1845	707
723	1848	704
724	1853	703
725	1858	701
726	1863	699
727	1867	697
728	1870	695
729	1874	693
730	1877	690
731	1879	688
732	1882	685
733	1885	683
734	1890	681
735	1893	679
736	1896	676
737	1902	675
738	1906	673
739	1909	670
740	1912	668
741	1916	666
742	1919	663
743	1922	661
744	1925	659
745	1927	656
746	1929	653
747	1931	650
748	1934	648
749	1937	645
750	1941	643
751	1943	641
752	1946	638
753	1949	636
754	1953	633
755	1956	631
756	1958	628
757	1960	625
758	1963	623
759	1965	620
760	1968	618
761	1971	615
762	1974	613
763	1977	610
764	1980	608
765	1983	605
766	1987	603
767	1990	601
768	1992	598
769	1995	595
770	1999	593
771	2001	591
772	2006	589
773	2008	586
774	2011	584
775	2014	581
776	2016	578
777	2021	576
778	2024	574
779	2028	572
780	2030	569
781	2033	566
782	2037	564
783	2039	561
784	2042	559
785	2045	556
786	2048	554
787	2053	552
788	2056	550
789	2060	547
790	2063	545
791	2068	543
792	2071	540
793	2074	538
794	2077	535
795	2080	533
796	2082	530
797	2086	528
798	2088	525
799	2091	522
800	2094	520
801	2099	518
802	2107	517
803	2110	514
804	2113	511
805	2117	509
806	2121	507
807	2123	504
808	2126	502
809	2129	499
810	2131	496
811	2134	494
812	2137	491
813	2139	488
814	2142	486
815	2145	483
816	2148	481
817	2151	478
818	2154	476
819	2157	473
820	2159	470
821	2162	468
822	2166	465
823	2169	463
824	2172	460
825	2175	458
826	2178	455
827	2180	453
828	2183	450
829	2185	447
830	2188	445
831	2190	442
832	2193	439
833	2196	437
834	2199	434
835	2202	432
836	2204	429
837	2207	426
838	2210	424
839	2212	421
840	2215	418
841	2218	416
842	2220	413
843	2223	410
844	2225	408
845	2228	405
846	2231	403
847	2233	400
848	2236	397
849	2238	395
850	2242	392
851	2245	389
852	2248	387
853	2250	384
854	2253	382
855	2255	379
856	2258	376
857	2261	374
858	2264	371
859	2265	368
860	2268	366
861	2270	363
862	2273	360
863	2276	358
864	2279	355
865	2282	353
866	2285	350
867	2287	347
868	2290	345
869	2293	342
870	2295	340
871	2298	337
872	2300	334
873	2303	332
874	2305	329
875	2308	326
876	2311	324
877	2313	321
878	2316	318
879	2318	316
880	2321	313
881	2323	310
882	2326	308
883	2328	305
884	2331	302
885	2333	300
886	2336	297
887	2338	294
888	2341	292
889	2344	289
890	2347	287
891	2349	284
892	2352	281
893	2354	279
894	2357	276
895	2360	274
896	2363	271
897	2365	268
898	2368	266
899	2370	263
900	2373	260
901	2376	258
902	2378	255
903	2381	252
904	2383	250
905	2386	247
906	2388	244
907	2391	242
908	2393	239
909	2397	237
910	2400	234
911	2402	231
912	2405	229
913	2408	226
914	2410	223
915	2413	221
916	2415	218
917	2418	216
918	2421	213
919	2423	210
920	2426	208
921	2429	205
922	2433	203
923	2436	200
924	2439	197
925	2442	195
926	2444	192
927	2447	189
928	2453	187
929	2456	184
930	2458	182
931	2461	179
932	2464	176
933	2466	174
934	2468	171
935	2471	168
936	2474	166
937	2477	163
938	2479	161
939	2482	158
940	2485	155
941	2487	153
942	2490	150
943	2493	147
944	2496	145
945	2498	142
946	2500	139
947	2503	137
948	2506	134
949	2509	132
950	2512	129
951	2514	126
952	2517	124
953	2520	121
954	2523	118
955	2525	116
956	2527	113
957	2529	110
958	2532	108
959	2534	105
960	2537	102
961	2540	100
962	2543	97
963	2545	95
964	2547	92
965	2550	89
966	2552	87
967	2555	84
968	2557	81
969	2559	79
970	2562	76
971	2564	73
972	2567	71
973	2570	68
974	2574	66
975	2577	63
976	2580	60
977	2583	58
978	2585	55
979	2589	52
980	2592	50
981	2595	47
982	2597	44
983	2600	42
984	2602	39
985	2604	36
986	2609	34
987	2612	31
988	2615	29
989	2617	26
990	2621	23
991	2623	21
992	2626	18
993	2629	15
994	2632	13
995	2634	10
996	2638	7
997	2641	5
998	2644	2
999	2647	0
